iter	Passed	Remaining
583	8792	6262
584	8807	6247
585	8822	6232
586	8837	6217
587	8853	6203
588	8867	6187
589	8882	6172
590	8897	6157
591	8913	6143
592	8929	6128
593	8944	6113
594	8961	6100
595	8977	6085
596	8995	6072
597	9010	6057
598	9026	6042
599	9042	6028
600	9057	6013
601	9072	5997
602	9087	5982
603	9102	5968
604	9118	5953
605	9133	5937
606	9148	5923
607	9163	5907
608	9179	5893
609	9194	5878
610	9210	5863
611	9225	5848
612	9241	5834
613	9257	5819
614	9273	5805
615	9289	5790
616	9305	5776
617	9321	5761
618	9336	5746
619	9353	5732
620	9368	5717
621	9382	5702
622	9397	5687
623	9413	5672
624	9429	5657
625	9445	5643
626	9461	5628
627	9475	5613
628	9491	5598
629	9505	5582
630	9520	5567
631	9536	5552
632	9551	5537
633	9567	5523
634	9582	5508
635	9597	5492
636	9612	5477
637	9626	5462
638	9642	5447
639	9657	5432
640	9671	5416
641	9687	5401
642	9702	5386
643	9716	5371
644	9732	5356
645	9747	5341
646	9763	5326
647	9777	5311
648	9792	5296
649	9806	5280
650	9821	5265
651	9837	5250
652	9852	5235
653	9869	5221
654	9885	5206
655	9901	5192
656	9917	5177
657	9933	5162
658	9949	5148
659	9966	5134
660	9981	5119
661	9997	5104
662	10011	5088
663	10027	5073
664	10041	5058
665	10055	5043
666	10071	5028
667	10085	5012
668	10101	4997
669	10115	4982
670	10130	4967
671	10145	4951
672	10160	4936
673	10175	4921
674	10191	4907
675	10207	4892
676	10223	4877
677	10239	4863
678	10255	4848
679	10269	4832
680	10285	4817
681	10301	4803
682	10317	4788
683	10333	4774
684	10350	4759
685	10367	4745
686	10384	4731
687	10401	4716
688	10418	4702
689	10436	4688
690	10452	4673
691	10468	4659
692	10484	4644
693	10501	4630
694	10516	4615
695	10533	4600
696	10549	4586
697	10565	4571
698	10581	4556
699	10596	4541
700	10613	4526
701	10629	4512
702	10645	4497
703	10660	4482
704	10676	4467
705	10692	4452
706	10708	4437
707	10723	4422
708	10739	4408
709	10754	4392
710	10769	4377
711	10783	4361
712	10799	4346
713	10814	4331
714	10829	4316
715	10843	4301
716	10858	4285
717	10873	4270
718	10889	4255
719	10904	4240
720	10919	4225
721	10934	4210
722	10949	4195
723	10964	4179
724	10981	4165
725	10995	4149
726	11012	4135
727	11027	4120
728	11042	4105
729	11059	4090
730	11075	4075
731	11092	4061
732	11109	4046
733	11125	4031
734	11140	4016
735	11155	4001
736	11171	3986
737	11187	3971
738	11202	3956
739	11218	3941
740	11233	3926
741	11248	3911
742	11263	3896
743	11278	3880
744	11294	3865
745	11308	3850
746	11323	3835
747	11339	3820
748	11353	3804
749	11368	3789
750	11383	3774
751	11398	3759
752	11413	3743
753	11428	3728
754	11443	3713
755	11459	3698
756	11475	3683
757	11491	3668
758	11507	3653
759	11521	3638
760	11535	3622
761	11549	3607
762	11564	3592
763	11580	3577
764	11594	3561
765	11610	3546
766	11625	3531
767	11641	3516
768	11655	3501
769	11671	3486
770	11686	3471
771	11701	3455
772	11716	3440
773	11731	3425
774	11747	3410
775	11763	3395
776	11779	3380
777	11793	3365
778	11810	3350
779	11826	3335
780	11841	3320
781	11857	3305
782	11873	3290
783	11888	3275
